rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,line_move_spread,line_move_pts,n_snapshots,elo_diff_04,market_spread_home
13,2026-03-10,401851363,Penn State Nittany Lions,Northwestern Wildcats,Northwestern Wildcats -6.5,Northwestern Wildcats -6.5,Northwestern Wildcats -11,-1.5,15.5,15.5,11,-8,9,9,4.5,0.8,0,0.6,1.6,4.5,8.4,NA,0,NA,167.7936143549996,-6.5
14,2026-03-10,401851285,Kansas State Wildcats,BYU Cougars,BYU Cougars -10.5,Kansas State Wildcats +10.5,BYU Cougars -8.5,7,21.5,2.5,8.5,-3.5,11,-8,-2,1,0,0.6,2.2,2,7.1,NA,0,NA,222.4445755493373,-10.5
15,2026-03-10,401851406,New Mexico State Aggies,Jacksonville State Gamecocks,Jacksonville State Gamecocks +1.5,Jacksonville State Gamecocks +1.5,Jacksonville State Gamecocks -2,-6.5,6,4.5,2,-5,7.5,6,3.5,0.8,0,0.6,1,3.5,6.5,NA,0,NA,-30.44699251974953,1.5
16,2026-03-10,401851362,Maryland Terrapins,Oregon Ducks,Oregon Ducks -3.5,Oregon Ducks -3.5,Oregon Ducks -6.5,-4,4,12.5,6.5,-7.5,0.5,9,3,0.8,0,0.6,1.5,3,6.3,NA,0,NA,71.77578766889928,-3.5
17,2026-03-10,401851405,Missouri State Bears,Florida International Panthers,Florida International Panthers +1,Missouri State Bears -1,Missouri State Bears -2.5,-3.5,4,-5.5,-2.5,-2.5,5,-4.5,-1.5,1,0,0.6,1,1.5,4.8,NA,0,NA,51.68695729037063,1
18,2026-03-10,401851434,Detroit Mercy Titans,Wright State Raiders,Wright State Raiders -3.5,Detroit Mercy Titans +3.5,Wright State Raiders -2,-3,9.5,1,2,-6.5,6,-2.5,-1.5,1,0,0.6,1.2,1.5,4.8,NA,0,NA,67.341972648906,-3.5
19,2026-03-10,401851467,Siena Saints,Merrimack Warriors,Merrimack Warriors -3.5,Merrimack Warriors -3.5,Merrimack Warriors -5.5,-2,5,9,5.5,-5.5,1.5,5.5,2,0.8,0,0.6,1.1,2,4.8,NA,0,NA,69.37602012116736,-3.5
20,2026-03-10,401851172,Wake Forest Demon Deacons,Virginia Tech Hokies,Virginia Tech Hokies -2.5,Virginia Tech Hokies -2.5,Virginia Tech Hokies -4,-4,9,5.5,4,-6.5,6.5,3,1.5,0.8,0,0.6,1.3,1.5,4.7,NA,0,NA,33.52281054775017,-2.5
21,2026-03-10,401851762,Santa Clara Broncos,Gonzaga Bulldogs,Gonzaga Bulldogs -6.5,Gonzaga Bulldogs -6.5,Gonzaga Bulldogs -7,-2,6,12.5,7,-8.5,-0.5,6,0.5,1,0,0,1.7,0.5,4.4,NA,0,NA,78.08421017796309,-6.5
22,2026-03-10,401851170,Pittsburgh Panthers,Stanford Cardinal,Stanford Cardinal -5.5,Stanford Cardinal -5.5,Stanford Cardinal -7,2.5,7,9.5,7,-3,1.5,4,1.5,0.8,0,0.6,0,1.5,4.4,NA,0,NA,179.37210284979005,-5.5
23,2026-03-10,401856433,Monmouth Hawks,Hofstra Pride,Hofstra Pride -5.5,Hofstra Pride -5.5,Hofstra Pride -6.5,-1,7,10,6.5,-6.5,1.5,4.5,1,0.8,0,0.6,1.3,1,4.2,NA,0,NA,130.43106549463346,-5.5
24,2026-03-10,401851611,Texas A&M-Corpus Christi Islanders,Stephen F. Austin Lumberjacks,Stephen F. Austin Lumberjacks -6.5,Texas A&M-Corpus Christi Islanders +6.5,Stephen F. Austin Lumberjacks -6,3,10,5.5,6,-3.5,3.5,-1,-0.5,1,0,0.6,0,0.5,4,NA,0,NA,229.59729911121053,-6.5
