rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,elo_diff_04,market_spread_home
11,2026-03-06,401851350,Presbyterian Blue Hose,Radford Highlanders,Radford Highlanders -2,Radford Highlanders -2,Radford Highlanders -8,-3,20,7.5,8,-5,18,5.5,6,0.8,0,0.6,1,6,8.7,102.87671948599063,-2
12,2026-03-06,401814599,Buffalo Bulls,Toledo Rockets,Toledo Rockets -8,Toledo Rockets -8,Toledo Rockets -13,-0.5,17,17,13,-8.5,9,9,5,0.8,0,0.6,1.7,5,8.6,95.48911650089576,-8
13,2026-03-06,401822972,St. John's Red Storm,Seton Hall Pirates,Seton Hall Pirates +4,St. John's Red Storm -4,St. John's Red Storm -7.5,-11,-4,-7.5,-7.5,-7,-0,-3.5,-3.5,2.8,1.5,0.6,0,3.5,8.4,-199.0947419025715,4
14,2026-03-06,401851347,Gardner-Webb Runnin' Bulldogs,High Point Panthers,High Point Panthers -27,Gardner-Webb Runnin' Bulldogs +27,High Point Panthers -23,11,22.5,29.5,23,-16,-4.5,3,-3.5,1,0,0.6,0,3.5,8.2,600.7719161166433,-26.75
15,2026-03-06,401851580,VMI Keydets,UNC Greensboro Spartans,UNC Greensboro Spartans -7.5,UNC Greensboro Spartans -7.5,UNC Greensboro Spartans -13,5,11,18.5,13,-2.5,3.5,11,5.5,0.8,0,0.6,0,5.5,8.2,268.88571378007646,-7.5
16,2026-03-06,401851579,The Citadel Bulldogs,Chattanooga Mocs,Chattanooga Mocs -7.5,Chattanooga Mocs -7.5,Chattanooga Mocs -12.5,2,7,21,12.5,-5.5,-0.5,13.5,5,1,0,0,1.1,5,8.1,156.34947201919886,-7.5
17,2026-03-06,401827722,UCF Knights,West Virginia Mountaineers,West Virginia Mountaineers -3.5,UCF Knights +3.5,UCF Knights -1,-8.5,9.5,-3,-1,-12,6,-6.5,-4.5,1,0,0.6,1.2,4.5,8.1,-85.12324658693615,-3.5
18,2026-03-06,401851245,Bellarmine Knights,Central Arkansas Bears,Central Arkansas Bears -6.5,Central Arkansas Bears -6.5,Central Arkansas Bears -11.5,3.5,11,15.5,11.5,-3,4.5,9,5,0.8,0,0.6,0,5,7.7,271.5903392462885,-6.5
19,2026-03-06,401851349,Longwood Lancers,UNC Asheville Bulldogs,UNC Asheville Bulldogs -1.5,Longwood Lancers +1.5,Longwood Lancers -0.5,-6,13,-4,-0.5,-7.5,11.5,-5.5,-2,1,0,0.6,2.3,2,6.9,-18.94320183264608,-1.5
20,2026-03-06,401851624,Denver Pioneers,North Dakota Fighting Hawks,North Dakota Fighting Hawks +3.5,Denver Pioneers -3.5,Denver Pioneers -8.5,-6,-3,-12.5,-8.5,-2.5,0.5,-9,-5,1,0,0.6,0,5,6.9,-50.61335410526135,3.5
21,2026-03-06,401814598,Bowling Green Falcons,Eastern Michigan Eagles,Eastern Michigan Eagles +4,Bowling Green Falcons -4,Bowling Green Falcons -4.5,-10.5,-10,1.5,-4.5,-6.5,-6,5.5,-0.5,1,0,0.6,1.1,0.5,6.4,-168.18389498662236,4
22,2026-03-06,401823787,UNLV Rebels,San Diego State Aztecs,San Diego State Aztecs -10.5,UNLV Rebels +10.5,San Diego State Aztecs -9.5,0,21.5,7.5,9.5,-10.5,11,-3,-1,1,0,0.6,2.2,1,6.1,135.69090583026718,-10.5
23,2026-03-06,401851248,West Georgia Wolves,Queens University Royals,Queens University Royals -8,Queens University Royals -8,Queens University Royals -11,2,20.5,10,11,-6,12.5,2,3,0.8,0,0.6,1.2,3,5.9,133.9432906312568,-8
24,2026-03-06,401851247,Stetson Hatters,Austin Peay Governors,Austin Peay Governors -11.5,Stetson Hatters +11.5,Austin Peay Governors -7.5,0.5,12,9,7.5,-11,0.5,-2.5,-4,1,0,0.6,0,4,5.7,204.2443056151726,-11.5
25,2026-03-06,401812624,Columbia Lions,Harvard Crimson,Harvard Crimson -4.5,Harvard Crimson -4.5,Harvard Crimson -6,-4.5,5,12,6,-9,0.5,7.5,1.5,0.8,0,0.6,1.8,1.5,5.6,102.61241132086047,-4.5
26,2026-03-06,401828462,VCU Rams,Dayton Flyers,Dayton Flyers -1.5,Dayton Flyers -1.5,Dayton Flyers -2,-6.5,1,7,2,-8,-0.5,5.5,0.5,1,0,0,1.6,0.5,4.4,-39.55040870011953,-1.5
