rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,line_move_spread,line_move_pts,n_snapshots,elo_diff_04,market_spread_home
22,2026-03-11,401851408,New Mexico State Aggies,Sam Houston Bearkats,Sam Houston Bearkats -4.5,Sam Houston Bearkats -4.5,Sam Houston Bearkats -8,1.5,8,11,8,-3,3.5,6.5,3.5,0.8,0,0.6,0,3.5,6.2,NA,0,NA,117.88817566438524,-4.5
23,2026-03-11,401851391,Cal Poly Mustangs,UC San Diego Tritons,UC San Diego Tritons -5.5,UC San Diego Tritons -5.5,UC San Diego Tritons -8,-2.5,12,11.5,8,-8,6.5,6,2.5,0.8,0,0.6,1.6,2.5,6.2,NA,0,NA,100.68129982735265,-5.5
24,2026-03-11,401851496,Air Force Falcons,Nevada Wolf Pack,Nevada Wolf Pack -20.5,Air Force Falcons +20.5,Nevada Wolf Pack -18,10,17.5,22.5,18,-10.5,-3,2,-2.5,1,0,0.6,0,2.5,6,NA,0,NA,467.6019907567181,-20.5
25,2026-03-11,401851260,Loyola Chicago Ramblers,Richmond Spiders,Richmond Spiders -5.5,Loyola Chicago Ramblers +5.5,Richmond Spiders -3,-0.5,9,1.5,3,-6,3.5,-4,-2.5,1,0,0.6,0,2.5,5.9,NA,0,NA,145.546951797367,-5.5
26,2026-03-11,401851369,Northwestern Wildcats,Indiana Hoosiers,Indiana Hoosiers -4.5,Indiana Hoosiers -4.5,Indiana Hoosiers -7,1,16,6,7,-3.5,11.5,1.5,2.5,0.8,0,0.6,0,2.5,5.9,NA,0,NA,69.65687085067884,-4.5
27,2026-03-11,401851291,Cincinnati Bearcats,UCF Knights,UCF Knights +3,UCF Knights +3,Cincinnati Bearcats -0.5,-6.5,8,-1.5,-0.5,-3.5,11,1.5,2.5,0.8,0,0.6,0,2.5,5.8,NA,0,NA,-42.375505731073645,3
28,2026-03-11,401851222,Temple Owls,Florida Atlantic Owls,Florida Atlantic Owls -1.5,Florida Atlantic Owls -1.5,Florida Atlantic Owls -4,-4,17.5,1,4,-5.5,16,-0.5,2.5,1,0,0,1.1,2.5,5.4,NA,0,NA,55.96896727326998,-1.5
29,2026-03-11,401851221,Tulane Green Wave,Memphis Tigers,Memphis Tigers -4,Tulane Green Wave +4,Memphis Tigers -2,-6.5,9,2.5,2,-10.5,5,-1.5,-2,1,0,0.6,1,2,5.3,NA,0,NA,-9.45659417981824,-4
30,2026-03-11,401851495,Wyoming Cowboys,UNLV Rebels,UNLV Rebels -3.5,Wyoming Cowboys +3.5,UNLV Rebels -3.5,-7.5,8,6.5,3.5,-11,4.5,3,-0,0.8,0,0,0.9,0,5.1,NA,0,NA,-38.28495422015226,-3.5
31,2026-03-11,401851549,Boston University Terriers,Lehigh Mountain Hawks,Lehigh Mountain Hawks +1.5,Lehigh Mountain Hawks +1.5,Boston University Terriers 0,-9.5,12.5,-2,-0,-8,14,-0.5,1.5,1,0,0,1.6,1.5,5.1,0,0,3,-55.45110816643955,1.5
32,2026-03-11,401851733,Tarleton State Texans,Abilene Christian Wildcats,Abilene Christian Wildcats +1.5,Abilene Christian Wildcats +1.5,Abilene Christian Wildcats -0.5,-4.5,7,0,0.5,-3,8.5,1.5,2,0.8,0,0.6,0,2,5.1,NA,0,NA,13.341202116967906,1.5
33,2026-03-11,401851718,Prairie View A&M Panthers,Bethune-Cookman Wildcats,Bethune-Cookman Wildcats -5,Prairie View A&M Panthers +5,Bethune-Cookman Wildcats -5,-0.5,15.5,2,5,-5.5,10.5,-3,-0,1,0,0.6,2.1,0,4.9,NA,0,NA,103.7327242484182,-5
34,2026-03-11,401851258,St. Bonaventure Bonnies,La Salle Explorers,La Salle Explorers +5.5,La Salle Explorers +5.5,St. Bonaventure Bonnies -3.5,-8.5,-1.5,-2,-3.5,-3,4,3.5,2,0.8,0,0.6,0,2,4.7,NA,0,NA,-101.88852889910164,5.5
35,2026-03-11,401851175,California Golden Bears,Florida State Seminoles,Florida State Seminoles -4,Florida State Seminoles -4,Florida State Seminoles -5,-0,1,9.5,5,-4,-3,5.5,1,1,0,0,0.8,1,4.7,NA,0,NA,33.07550800086119,-4
36,2026-03-11,401851308,Providence Friars,Butler Bulldogs,Butler Bulldogs +1.5,Providence Friars -1.5,Providence Friars -4,-7.5,-6.5,-1,-4,-6,-5,0.5,-2.5,1,0,0.6,0,2.5,4.5,0,0,3,-46.769672740914984,1.5
37,2026-03-11,401851176,Wake Forest Demon Deacons,Clemson Tigers,Clemson Tigers -4.5,Wake Forest Demon Deacons +4.5,Clemson Tigers -3,-1.5,7.5,3.5,3,-6,3,-1,-1.5,1,0,0.6,0,1.5,4.3,NA,0,NA,123.85996224391032,-4.5
38,2026-03-11,401851614,McNeese Cowboys,Stephen F. Austin Lumberjacks,Stephen F. Austin Lumberjacks +1.5,Stephen F. Austin Lumberjacks +1.5,McNeese Cowboys -1,-3,3.5,-2.5,-1,-1.5,5,-1,0.5,1,0,0,0,0.5,3.1,NA,0,NA,14.563413831405567,1.5
