date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts,tempo_base,tempo_match,tempo_vol,tempo_gap,tempo_cv,ppp_sum_base,matchup_ppp_sum,matchup_gap,three_sum,ft_sum,tov_sum,home_ppp_l10,away_ppp_l10,home_pppA_l10,away_pppA_l10,home_eFG,away_eFG,home_TS,away_TS,home_oreb_pct,away_oreb_pct,home_poss_l10,away_poss_l10,close_game,blowout_game,margin_vol_game,home_rest,away_rest,rest_diff,rest_min,home_gp_before,away_gp_before,gp_min,gp_sum,home_resid5,home_resid10,home_resid_w5,home_venue_resid5,home_n_hist,away_resid5,away_resid10,away_resid_w5,away_venue_resid5,away_n_hist,away_score,home_score,actual_total,tempo_actual,ppp_sum_actual,base_error,abs_base_error,bet_result
2026-03-05,401805213,Utah Valley Wolverines,Southern Utah Thunderbirds,151,9,UNDER,142.5,153,144,158,147.5,146.5,-8.478436037136305,1.8641655754795179,-6.813564231461669,7.2475128173828125,-4.4895605034325,-3.3071352308284077,7.1,1451.8698884222797,1617.4094896631143,-309.648047340326,1423.29911395067,1732.947161290996,67.25137173913043,79.25906775743707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,88,180,71.275,2.5260131473573697,,,L
2026-03-05,401827106,Grambling Tigers,Alabama State Hornets,144,-1.5,UNDER,141,139,138.5,153,140,150,-3.308021200758674,-5.359983167603048,-5.861656829404126,8.745635986328125,5.933181691453967,-4.334002184180861,6.9,1432.9381801922325,1438.16925105141,4.563223332528878,1397.1926825080384,1392.6294591755095,75.0602539034412,75.12292778801277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,63,128,70.7625,1.808939242219553,,,W
2026-03-05,401828260,South Florida Bulls,Memphis Tigers,161,6.5,UNDER,156,159.5,156.5,151.5,158,148,-5.0866009648975705,-1.2982530345557848,-4.404783781775507,-9.49603271484375,-12.86263861003863,-3.1924269997266776,6.9,1473.677879197268,1606.7774193046334,-241.3688097122192,1513.2830336582326,1754.6518433704518,69.44146654381655,78.69589484614484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,81,169,72.11250000000001,2.3425763091463225,,,L
2026-03-05,401851485,Drake Bulldogs,Southern Illinois Salukis,138,-4.5,OVER,143,141.5,133,141.5,142,147,4.7200952426418326,3.278751797293836,-5.080570413930076,3.399139404296875,8.514181899773149,3.99942351996782,6.7,1541.7474745013571,1434.750022574807,149.4691698710992,1577.234271620565,1427.765101749466,76.22792978473065,70.5362521150425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,63,130,64.4375,2.017315063346471,,,L
2026-03-05,401851745,Pepperdine Waves,Portland Pilots,154.5,-2.5,UNDER,148,156.5,154,136.5,152.5,150,-6.440308076731668,2.1934135016674077,-0.5407407651389065,-18.194549560546875,-4.338482954472681,-2.1234472875321444,6.7,1464.3059512761092,1431.460761668224,48.99398189177827,1414.874075120657,1365.8800932288786,76.39546904761906,73.76604799790827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,77,145,69.26249999999999,2.0940603772660626,,,W
2026-03-05,401809121,Cal Poly Mustangs,UC Irvine Anteaters,157,-9.5,UNDER,155,152.5,142.5,143,154,147,-1.831708596122496,-4.549549034726198,-14.71298626606199,-13.873748779296877,-9.757625614772024,-3.190628815424361,6.6,1579.7190284233125,1498.0756524222377,103.41810561877264,1646.8393293073736,1543.421223688601,75.81983849216768,71.4225358930603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,88,162,65.55000000000001,2.4718975604987916,,,L
2026-03-05,401851545,Loyola Maryland Greyhounds,Colgate Raiders,154.5,-5.5,UNDER,147.5,164,143,138,156,148,-7.006962345262195,9.65843723345813,-11.437271053146162,-16.3924560546875,-6.279774471944734,1.3257374440979677,6.5,1519.9749591872192,1449.3303723704869,153.0242369374282,1556.999130067257,1403.9748931298288,75.45701107873452,72.76321444932074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,90,167,64.5,2.5956165497996144,,,L
2026-03-05,401804961,Western Kentucky Hilltoppers,Missouri State Bears,153,2.25,UNDER,149,150.5,151.5,133.5,150,148,-3.71101091618084,-2.039345843175312,-1.412309513606715,-19.191604614257812,-4.53343933210499,-2.8751783796780614,6.5,1467.995715845188,1548.9065343682887,-119.82128340178453,1491.6723689035252,1611.4936523053098,72.3773797903165,75.83918087757853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,87,161,66.48750000000001,2.4207075888388316,,,L
2026-03-05,401804960,Kennesaw State Owls,UTEP Miners,147,2.5,UNDER,142,146.5,146.5,138.5,144.5,148.5,-4.8590627668329205,-0.4369700638258678,-0.556477789603889,-8.2782135009765625,1.682961833869058,-2.64801641532938,6.1,1426.731436749569,1537.3958400078116,-172.49581969646192,1411.9188360366363,1584.4146557330985,69.6388615401329,79.04410029373616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,78,149,74.9375,1.9914369547183048,,,L
2026-03-05,401828259,Tulane Green Wave,Temple Owls,145,-5,OVER,145,149.5,147.5,148,147,146.5,0.30854634421936566,4.542196599094098,2.725830072026014,3.095367431640625,1.9131264467566211,2.4253714716567174,5.7,1496.5806950896529,1526.262006060612,-0.22416689405008583,1517.8628655533394,1518.0870324473894,72.4630040362276,74.20012241052902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,89,149,67.3375,2.20569479317044,,,W
